,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hasaki,20,JP,1582448351,34,35.73,140.83,50.0,14.99
1,Albany,1,US,1582448352,68,42.6,-73.97,28.0,5.82
2,Mayya,100,RU,1582448120,75,61.73,130.28,-16.6,2.24
3,Longyearbyen,20,SJ,1582448241,70,78.22,15.64,-2.2,10.29
4,Souillac,75,MU,1582448356,70,-20.52,57.52,84.99,8.05
5,Ulladulla,100,AU,1582448357,64,-35.35,150.47,73.4,11.41
6,San Patricio,0,MX,1582448359,75,19.22,-104.7,74.55,3.38
7,Grand Gaube,75,MU,1582448360,70,-20.01,57.66,84.99,8.05
8,Kahului,75,US,1582448361,77,20.89,-156.47,70.0,6.93
9,Mataura,74,NZ,1582448223,86,-46.19,168.86,55.99,3.0
10,Udachny,54,RU,1582448363,91,66.42,112.4,3.2,4.47
11,Saskylakh,100,RU,1582448239,88,71.92,114.08,9.73,8.99
12,Bac Lieu,9,VN,1582448366,38,9.29,105.72,89.89,19.1
13,Kysyl-Syr,100,RU,1582448367,97,63.9,122.76,-2.02,2.51
14,Yellowknife,75,CA,1582448229,69,62.46,-114.35,-7.01,6.93
15,Staryy Oskol,100,RU,1582448369,96,51.3,37.84,31.23,20.85
16,Swift Current,1,CA,1582448371,73,50.28,-107.8,24.8,11.41
17,Busselton,100,AU,1582448372,29,-33.65,115.33,84.99,3.27
18,Hay River,75,CA,1582448373,83,60.82,-115.8,-4.0,2.24
19,Dongsheng,0,CN,1582448374,33,39.82,109.98,44.31,5.23
20,Ati,0,TD,1582448375,9,13.22,18.34,85.6,13.98
21,Esperance,75,AU,1582448377,73,-33.87,121.9,71.6,19.46
22,Hermanus,0,ZA,1582448378,56,-34.42,19.23,81.0,15.01
23,Hobart,75,AU,1582448216,63,-42.88,147.33,64.4,17.22
24,Blind River,1,CA,1582448124,92,46.18,-82.96,26.6,9.53
25,Castellaneta,40,IT,1582448381,49,40.63,16.94,57.99,4.7
26,Rikitea,0,PF,1582448218,66,-23.12,-134.97,79.11,3.83
27,Airai,41,TL,1582448274,86,-8.93,125.41,74.86,2.84
28,Klaksvik,100,FO,1582448124,92,62.23,-6.59,30.2,5.82
29,Molango,37,MX,1582448125,92,20.78,-98.72,54.5,3.33
30,San Rafael del Sur,40,NI,1582448387,88,11.85,-86.44,73.4,6.93
31,Asau,100,RO,1582448388,50,46.43,26.4,51.8,1.12
32,Vaini,75,TO,1582448390,83,-21.2,-175.2,80.6,10.29
33,Labuhan,76,ID,1582448391,82,-6.88,112.21,83.37,7.0
34,East London,20,ZA,1582448392,60,-33.02,27.91,69.8,14.99
35,Khandyga,96,RU,1582448393,100,62.67,135.6,-7.13,0.96
36,Mattru,79,SL,1582448394,74,7.62,-11.83,83.03,4.07
37,Khatanga,100,RU,1582448396,85,71.97,102.5,15.3,13.31
38,Nhulunbuy,40,AU,1582448397,83,-12.23,136.77,82.4,9.17
39,Nikolskoye,75,RU,1582448398,69,59.7,30.79,39.2,17.9
40,Mount Gambier,34,AU,1582448226,64,-37.83,140.77,68.0,17.22
41,Maniitsoq,100,GL,1582448400,58,65.42,-52.9,11.35,10.33
42,Atuona,0,PF,1582448401,77,-9.8,-139.03,81.27,12.37
43,Mar del Plata,0,AR,1582448403,93,-38.0,-57.56,55.99,5.82
44,Port Alfred,88,ZA,1582448404,63,-33.59,26.89,72.0,5.01
45,Northam,40,GB,1582448127,82,51.03,-4.22,57.0,23.04
46,Barrow,1,US,1582448406,82,71.29,-156.79,-23.8,10.29
47,Santa Cruz del Sur,3,CU,1582448408,76,20.71,-78.0,74.57,20.8
48,Rudnogorsk,100,RU,1582448409,89,57.26,103.75,22.32,5.91
49,Nevelsk,75,RU,1582448410,92,46.67,141.86,24.8,22.37
50,Yulara,0,AU,1582448411,4,-25.24,130.99,98.6,14.99
51,Qaanaaq,100,GL,1582448413,92,77.48,-69.36,-13.05,1.57
52,Waingapu,100,ID,1582448414,70,-9.66,120.26,84.67,16.02
53,Te Anau,27,NZ,1582448415,82,-45.42,167.72,53.74,7.81
54,Cabo San Lucas,31,MX,1582448393,64,22.89,-109.91,70.0,7.61
55,Mehamn,0,NO,1582448417,82,71.04,27.85,24.19,5.57
56,Dikson,100,RU,1582448418,94,73.51,80.55,28.38,19.62
57,Puerto Ayora,30,EC,1582448226,100,-0.74,-90.35,75.99,4.74
58,Yabelo,47,ET,1582448421,21,4.88,38.08,83.86,22.26
59,Avarua,100,CK,1582448422,88,-21.21,-159.78,82.4,4.7
60,Luderitz,0,NA,1582448217,57,-26.65,15.16,75.2,12.75
61,Beloha,100,MG,1582448424,52,-25.17,45.05,89.6,10.38
62,Topola,82,RS,1582448426,100,44.25,20.68,44.6,1.12
63,Arraial do Cabo,80,BR,1582448231,73,-22.97,-42.03,74.53,14.32
64,Kodiak,1,US,1582448428,48,57.79,-152.41,19.4,19.46
65,Mazyr,100,BY,1582448429,67,52.05,29.25,42.62,22.68
66,Bengkulu,46,ID,1582448431,75,-3.8,102.27,83.73,4.54
67,Port Elizabeth,20,ZA,1582448432,49,-33.92,25.57,71.6,6.93
68,Dunedin,100,NZ,1582448433,70,-45.87,170.5,59.0,4.68
69,Avera,1,US,1582448434,100,33.19,-82.53,37.0,1.05
70,Ust-Nera,91,RU,1582448436,100,64.57,143.2,-31.65,0.89
71,Ushuaia,40,AR,1582448437,70,-54.8,-68.3,48.2,25.28
72,Talnakh,75,RU,1582448234,92,69.49,88.4,10.4,31.32
73,Tiksi,100,RU,1582448439,91,71.69,128.87,-10.89,6.06
74,Chokurdakh,90,RU,1582448441,98,70.63,147.92,-17.63,1.92
75,Thompson,90,CA,1582448442,72,55.74,-97.86,12.2,4.7
