,City,Unnamed: 0,ID,Date,DateType,Age,Sex,Race,ResidenceCity,ResidenceCounty,ResidenceState,DeathCounty,Location,LocationifOther,DescriptionofInjury,InjuryPlace,InjuryCity,InjuryCounty,InjuryState,COD,OtherSignifican,Heroin,Cocaine,Fentanyl,Oxycodone,Oxymorphone,Ethanol,Hydrocodone,Benzodiazepine,Methadone,Amphetamine,Tramadol,Morphine Not Heroin,Hydromorphone,Other,MannerofDeath,Latitude,Longitude
1,AMSTON,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,41.6254198,-72.343059
2,ANDOVER,3,3,3,3,3,3,3,3,2,2,3,3,0,2,3,1,1,0,3,1,1,0,2,2,0,1,0,0,0,0,0,0,0,0,3,41.7373211,-72.37035999999999
3,ANSONIA,23,23,23,23,23,23,23,23,21,17,17,23,0,20,23,15,8,5,23,0,6,4,6,8,1,5,0,8,5,1,0,1,0,2,23,41.34620779999999,-73.07899689999999
4,ASHFORD,6,6,6,6,6,6,6,6,4,5,4,6,2,6,6,5,5,4,6,0,3,4,4,0,0,3,0,2,0,1,0,0,0,0,6,41.8730657,-72.1216163
5,AVON,5,5,5,5,5,5,5,5,4,4,2,5,1,5,5,4,2,2,5,0,1,2,3,2,0,0,0,2,0,0,0,0,0,0,5,41.8096201,-72.8305154
6,BAKERSVILLE,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,41.8320412,-73.0301066
7,BALTIC,3,3,3,3,3,3,3,3,2,2,2,3,1,2,2,2,1,0,3,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,3,41.61720649999999,-72.0850766
8,BANTAM,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,41.7245409,-73.23622619999999
9,BARKHAMSTED,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.9292629,-72.9139904
10,BEACON FALLS,4,4,4,4,4,4,4,4,4,4,2,4,1,4,4,4,2,1,4,0,2,1,3,0,0,0,0,2,1,0,0,0,0,0,4,41.4426452,-73.06176119999999
11,BERLIN,18,18,18,18,18,18,18,18,16,14,16,18,3,14,18,11,9,8,18,0,9,4,7,5,1,5,1,5,2,0,0,1,0,0,18,41.621488,-72.7456519
12,BETHANY,5,5,5,5,5,5,5,5,4,4,5,5,2,4,5,3,3,3,5,0,3,2,1,0,0,1,1,0,0,0,0,0,1,0,5,41.4217637,-72.9970496
13,BETHEL,15,15,15,15,15,15,15,15,13,6,13,15,5,15,14,6,4,2,15,0,7,3,7,5,1,1,0,5,0,0,1,0,0,1,15,41.3712283,-73.41396209999999
14,BETHLEHEM,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,41.640378,-73.2057595
15,BLOOMFIELD,10,10,10,10,10,10,10,10,10,9,10,10,1,9,10,8,8,4,10,0,2,3,3,0,0,3,0,1,1,1,1,0,0,1,10,41.826488,-72.73009449999999
16,BOLTON,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,41.7689878,-72.4334173
17,BOZRAH,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,41.5604427,-72.16359589999999
18,BRANFORD,35,35,35,35,35,35,35,35,34,28,30,35,6,30,34,27,21,12,35,0,19,11,13,5,0,6,2,16,5,1,0,0,0,3,35,41.2799027,-72.81411849999999
19,BRIDGEPORT,323,323,323,323,323,323,323,323,287,239,244,320,15,284,320,221,151,90,323,15,168,117,154,29,6,88,6,88,46,7,4,2,0,27,322,41.1792258,-73.1894384
20,BRIDGEWATER,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,41.5350949,-73.3662305
21,BRISTOL,141,141,141,141,141,141,141,141,125,105,104,140,12,123,139,99,64,38,141,6,66,39,67,11,3,30,4,47,14,4,7,1,0,10,141,41.67176480000001,-72.9492703
22,BROAD BROOK,2,2,2,2,2,2,2,2,1,1,0,2,0,2,2,1,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,41.9123195,-72.54508729999999
23,BROOKFIELD,4,4,4,4,4,4,4,4,4,4,2,4,0,2,4,4,2,2,4,0,3,2,1,0,0,2,0,3,0,1,0,1,0,1,4,41.4825947,-73.4095652
24,BROOKLYN,5,5,5,5,5,5,5,5,3,3,3,5,1,4,5,2,1,1,5,0,3,1,0,1,0,0,0,3,0,1,0,0,0,2,5,41.7881236,-71.9497216
25,BURLINGTON,7,7,7,7,7,7,7,7,6,6,6,7,1,6,7,6,5,3,7,0,4,2,3,1,1,1,0,2,1,0,0,0,0,2,7,41.7691235,-72.9648388
26,CANTERBURY,5,5,5,5,5,5,5,5,5,5,5,5,0,4,5,4,4,3,5,0,4,1,3,0,0,0,0,2,1,0,0,0,0,1,5,41.6984319,-71.9709075
