,dayOfWeek
0,Thurs
1,Sunday
2,Thurs
3,Wed
4,Sunday
5,Sunday
6,Sunday
7,Wed
8,Wed
9,Thurs
10,Wed
11,Monday
12,Wed
13,Friday
14,Saturday
15,Tuesday
16,Friday
17,Tuesday
18,Friday
19,Saturday
20,Friday
21,Saturday
22,Sunday
23,Friday
24,Wed
25,Tuesday
26,Wed
27,Monday
28,Wed
29,Thurs
30,Monday
31,Saturday
32,Sunday
33,Monday
34,Saturday
35,Sunday
36,Tuesday
37,Wed
38,Monday
39,Monday
40,Tuesday
41,Saturday
42,Saturday
43,Sunday
44,Monday
45,Wed
46,Saturday
47,Sunday
48,Monday
49,Thurs
50,Wed
51,Monday
52,Thurs
53,Wed
54,Wed
55,Thurs
56,Monday
57,Thurs
58,Friday
59,Sunday
60,Friday
61,Sunday
62,Sunday
63,Thurs
64,Saturday
65,Friday
66,Thurs
67,Tuesday
68,Wed
69,Thurs
70,Saturday
71,Wed
72,Friday
73,Thurs
74,Sunday
75,Tuesday
76,Wed
77,Tuesday
78,Sunday
79,Thurs
80,Saturday
81,Wed
82,Friday
83,Monday
84,Saturday
85,Wed
86,Saturday
87,Monday
88,Sunday
89,Saturday
90,Friday
91,Sunday
92,Saturday
93,Saturday
94,Thurs
95,Wed
96,Monday
97,Wed
98,Thurs
99,Wed
100,Saturday
101,Friday
102,Friday
103,Wed
104,Friday
105,Monday
106,Monday
107,Friday
108,Sunday
109,Sunday
110,Saturday
111,Saturday
112,Friday
113,Tuesday
114,Thurs
115,Sunday
116,Wed
117,Saturday
118,Monday
119,Monday
120,Tuesday
121,Thurs
122,Tuesday
123,Wed
124,Monday
125,Sunday
126,Monday
127,Monday
128,Saturday
129,Sunday
130,Saturday
131,Friday
132,Wed
133,Tuesday
134,Tuesday
135,Wed
136,Tuesday
137,Thurs
138,Wed
139,Sunday
140,Monday
141,Monday
142,Friday
143,Thurs
144,Wed
145,Friday
146,Monday
147,Sunday
148,Saturday
149,Saturday
150,Thurs
151,Monday
152,Wed
153,Monday
154,Friday
155,Saturday
156,Sunday
157,Monday
158,Tuesday
159,Thurs
160,Saturday
161,Thurs
162,Saturday
163,Tuesday
164,Tuesday
165,Saturday
166,Wed
167,Wed
168,Thurs
169,Friday
170,Monday
171,Saturday
172,Friday
173,Saturday
174,Sunday
175,Monday
176,Friday
177,Monday
178,Wed
179,Thurs
180,Monday
181,Monday
182,Friday
183,Saturday
184,Tuesday
185,Thurs
186,Saturday
187,Wed
188,Friday
189,Wed
190,Monday
191,Friday
192,Thurs
193,Tuesday
194,Thurs
195,Wed
196,Sunday
197,Thurs
198,Sunday
199,Saturday
200,Thurs
201,Sunday
