,month
0,3
1,3
2,3
3,2
4,6
5,8
6,11
7,4
8,5
9,5
10,1
11,8
12,1
13,3
14,1
15,12
16,11
17,6
18,10
19,7
20,10
21,2
22,4
23,2
24,4
25,5
26,12
27,6
28,5
29,11
30,9
31,11
32,6
33,12
34,11
35,1
36,8
37,2
38,7
39,1
40,4
41,2
42,12
43,12
44,9
45,12
46,9
47,5
48,11
49,8
50,8
51,8
52,3
53,3
54,8
55,6
56,1
57,1
58,5
59,4
60,11
61,12
62,5
63,3
64,4
65,3
66,12
67,12
68,9
69,12
70,1
71,10
72,11
73,5
74,9
75,11
76,3
77,7
78,12
79,7
80,4
81,10
82,2
83,11
84,2
85,3
86,10
87,9
88,4
89,6
90,12
91,8
92,10
93,12
94,7
95,2
96,4
97,11
98,9
99,12
100,2
101,11
102,3
103,5
104,8
105,12
106,8
107,11
108,4
109,9
110,11
111,5
112,5
113,9
114,1
115,8
116,6
117,9
118,11
119,10
120,9
121,9
122,7
123,5
124,8
125,5
126,5
127,5
128,11
129,6
130,3
131,10
132,3
133,6
134,5
135,12
136,8
137,6
138,2
139,1
140,11
141,8
142,3
143,11
144,6
145,6
146,11
147,8
148,9
149,10
150,10
151,10
152,11
153,3
154,3
155,3
156,3
157,10
158,6
159,2
160,6
161,3
162,2
163,12
164,2
165,4
166,9
167,7
168,8
169,11
170,12
171,6
172,10
173,7
174,2
175,2
176,3
177,6
178,7
179,9
180,11
181,8
182,5
183,12
184,7
185,3
186,6
187,6
188,12
189,4
190,1
191,10
192,4
193,2
194,12
195,11
196,4
197,1
198,4
199,12
200,3
201,2
202,5
203,4
204,9
205,10
206,12
207,10
208,9
209,10
210,2
211,7
212,5
213,10
214,3
215,10
216,10
217,3
218,8
219,7
220,6
221,9
222,5
223,3
224,4
225,12
226,11
227,5
228,6
229,1
230,11
231,9
232,8
233,8
234,6
235,5
236,4
237,4
238,4
239,6
240,12
241,4
242,2
243,11
244,7
245,12
246,2
247,5
248,1
249,11
250,11
251,4
252,10
253,8
254,11
255,2
256,9
257,10
258,1
259,10
260,5
261,8
262,3
263,8
264,11
265,10
266,11
267,1
268,7
269,1
270,8
271,6
272,1
273,12
274,9
275,3
276,4
277,12
278,3
279,9
280,4
281,12
282,10
283,1
284,10
285,1
286,3
287,2
288,8
289,6
290,4
291,2
292,4
293,10
294,7
295,7
296,4
297,10
298,3
299,7
300,7
301,4
302,11
303,10
304,9
305,11
306,7
307,7
308,8
309,1
310,5
311,6
312,5
313,1
314,4
315,5
316,8
317,2
318,6
319,1
320,10
321,2
322,8
323,6
324,1
325,6
326,12
327,6
328,5
329,7
330,1
331,2
332,6
333,2
334,6
335,12
336,9
337,4
338,5
339,1
340,1
341,12
342,5
343,1
344,5
345,12
346,8
347,5
348,8
349,7
350,7
351,8
352,7
353,6
354,11
355,5
356,12
357,11
358,5
359,4
360,7
361,4
362,7
363,1
364,1
365,11
366,12
367,6
368,7
369,10
370,4
371,5
372,10
373,9
374,11
375,12
376,12
377,7
378,1
379,9
380,4
381,2
382,6
383,1
384,2
385,8
386,10
387,11
388,3
389,5
390,10
391,5
392,4
393,11
394,10
395,1
396,7
397,5
398,9
399,8
400,3
401,7
402,9
403,3
404,9
405,9
406,5
407,12
408,11
409,8
410,6
411,7
412,5
413,7
414,1
415,10
416,9
417,12
418,10
419,3
420,10
421,9
422,5
423,5
424,7
425,11
426,2
427,3
428,11
429,2
430,5
431,3
432,11
433,6
434,5
435,7
436,11
437,2
438,4
439,5
440,10
441,10
442,12
443,5
444,11
445,5
446,12
447,6
448,1
449,11
450,2
451,9
452,2
453,10
454,8
455,10
456,4
457,8
458,2
459,9
460,3
461,6
462,10
463,12
464,4
465,6
466,6
467,2
468,4
469,10
470,12
471,7
472,1
473,2
474,7
475,9
476,8
477,9
478,2
479,4
480,3
481,7
482,4
483,4
484,4
485,6
486,8
487,12
488,1
489,11
490,8
491,5
492,11
493,9
494,9
495,9
496,10
497,6
498,7
499,6
500,1
501,12
502,5
503,2
504,12
505,4
506,3
507,4
508,12
509,11
510,1
511,3
512,11
513,12
514,2
515,1
516,7
517,3
518,1
519,7
520,1
521,9
522,5
523,10
524,5
525,3
526,11
527,10
528,11
529,9
530,12
531,5
532,8
533,5
534,12
535,12
536,11
537,10
538,12
539,4
540,12
541,3
542,5
543,2
544,10
545,11
546,6
547,1
548,2
549,11
550,9
551,1
552,6
553,6
554,12
555,6
556,4
557,8
558,11
559,11
560,10
561,3
562,10
563,7
564,3
565,10
566,1
567,2
568,8
569,10
570,10
571,1
572,1
573,9
574,3
575,10
576,7
577,6
578,11
579,6
580,4
581,9
582,5
583,2
584,7
585,1
586,10
587,8
588,9
589,10
590,6
591,11
592,3
593,9
594,4
595,8
596,11
597,9
598,9
599,10
600,7
601,7
602,1
603,12
604,5
605,3
606,2
607,5
608,1
609,10
610,2
611,2
612,6
613,5
614,3
615,5
616,10
617,2
618,6
619,2
620,6
621,11
622,7
623,3
624,11
625,6
626,11
627,2
628,12
629,4
630,6
631,8
632,5
633,10
634,10
635,7
636,1
637,7
638,9
639,10
640,6
641,10
642,5
643,3
644,7
645,8
646,7
647,1
648,5
649,10
650,12
651,1
652,8
653,10
654,1
655,3
656,7
657,11
658,5
659,4
660,2
661,9
662,5
663,4
664,2
665,9
666,8
667,1
668,4
669,8
670,9
671,9
672,12
673,5
674,7
675,7
676,11
677,5
678,9
679,10
680,4
681,2
682,7
683,11
684,7
685,2
686,7
687,7
688,12
689,3
690,2
691,2
692,10
693,11
694,5
695,9
696,12
697,5
698,12
699,9
700,8
701,8
702,1
703,6
704,11
705,10
706,3
707,5
708,1
709,4
710,2
711,3
712,8
713,10
714,6
715,12
716,1
717,5
718,7
719,11
720,2
721,12
722,8
723,8
724,10
725,6
726,4
727,11
728,9
729,5
730,7
731,8
732,2
733,5
734,8
735,7
736,12
737,10
738,9
739,6
740,8
741,4
742,5
743,3
744,3
745,6
746,8
747,3
748,4
749,4
750,10
751,12
752,8
753,2
754,6
755,1
756,8
757,1
758,6
759,12
760,8
761,12
762,10
763,9
764,5
765,12
766,4
767,4
768,10
769,10
770,9
771,1
772,4
773,7
774,6
775,3
776,7
777,2
778,7
779,2
780,4
781,11
782,6
783,11
784,6
785,2
786,1
787,3
788,9
789,2
790,7
791,9
792,2
793,1
794,4
795,5
796,3
797,4
798,4
799,7
800,7
801,10
802,11
803,4
804,11
805,4
806,2
807,10
808,7
809,12
810,9
811,3
812,1
813,1
814,2
815,6
816,7
817,12
818,11
819,11
820,7
821,5
822,3
823,6
824,7
825,10
826,6
827,4
828,8
829,4
830,12
831,6
832,1
833,11
834,8
835,8
836,11
837,1
838,11
839,7
840,5
841,9
842,8
843,3
844,10
845,7
846,4
847,3
848,3
849,8
850,5
851,2
852,2
853,12
854,11
855,12
856,12
857,10
858,2
859,4
860,12
861,5
862,9
863,6
864,11
865,7
866,6
867,3
868,4
869,9
870,7
871,10
872,9
873,3
874,12
875,3
876,6
877,4
878,10
879,6
880,6
881,9
