Andover,"3,231"
Ansonia,"18,721"
Ashford,"4,261"
Avon,"18,302"
Barkhamsted,"3,624"
Beacon Falls,"6,182"
Berlin,"20,432"
Bethany,"5,479"
Bethel,"19,714"
Bethlehem,"3,422"
Bloomfield,"21,301"
Bolton,"4,890"
Bozrah,"2,537"
Branford,"28,005"
Bridgeport,"144,900"
Bridgewater,"1,641"
Bristol,"60,032"
Brookfield,"17,002"
Brooklyn,"8,280"
Burlington,"9,665"
Canaan,"1,055"
Canterbury,"5,100"
Canton,"10,270"
Chaplin,"2,256"
Cheshire,"29,179"
Chester,"4,229"
Clinton,"12,950"
Colchester,"15,936"
Colebrook,"1,405"
Columbia,"5,385"
Cornwall,"1,368"
Coventry,"12,414"
Cromwell,"13,905"
Danbury,"84,730"
Darien,"21,753"
Deep River,"4,463"
Derby,"12,515"
Durham,"7,195"
Eastford,"1,790"
East Granby,"5,147"
East Haddam,"8,988"
East Hampton,"12,854"
East Hartford,"49,998"
East Haven,"28,699"
East Lyme,"18,645"
Easton,"7,517"
East Windsor,"11,375"
Ellington,"16,299"
Enfield,"44,466"
Essex,"6,674"
Fairfield,"61,952"
Farmington,"25,506"
Franklin,"1,933"
Glastonbury,"34,491"
Goshen,"2,879"
Granby,"11,375"
Greenwich,"62,727"
Griswold,"11,591"
Groton,"38,692"
Guilford,"22,216"
Haddam,"8,222"
Hamden,"60,940"
Hampton,"1,853"
Hartford,"122,587"
Hartland,"2,120"
Harwinton,"5,430"
Hebron,"9,482"
Kent,"2,785"
Killingly,"17,287"
Killingworth,"6,370"
Lebanon,"7,207"
Ledyard,"14,736"
Lisbon,"4,248"
Litchfield,"8,127"
Lyme,"2,338"
Madison,"18,106"
Manchester,"57,699"
Mansfield,"25,817"
Marlborough,"6,358"
Meriden,"59,540"
Middlebury,"7,731"
Middlefield,"4,380"
Middletown,"46,146"
Milford,"54,661"
Monroe,"19,470"
Montville,"18,716"
Morris,"2,262"
Naugatuck,"31,288"
New Britain,"72,453"
New Canaan,"20,213"
New Fairfield,"13,877"
New Hartford,"6,685"
New Haven,"130,418"
Newington,"30,112"
New London,"26,939"
New Milford,"26,974"
Newtown,"27,774"
Norfolk,"1,640"
North Branford,"14,158"
North Canaan,"3,254"
North Haven,"23,691"
North Stonington,"5,243"
Norwalk,"89,047"
Norwich,"39,136"
Old Lyme,"7,366"
Old Saybrook,"10,087"
Orange,"13,949"
Oxford,"13,226"
Plainfield,"15,173"
Plainville,"17,623"
Plymouth,"11,645"
Pomfret,"4,204"
Portland,"9,305"
Preston,"4,638"
Prospect,"9,790"
Putnam,"9,395"
Redding,"9,125"
Ridgefield,"25,008"
Rocky Hill,"20,145"
Roxbury,"2,160"
Salem,"4,123"
Salisbury,"3,598"
Scotland,"1,685"
Seymour,"16,509"
Sharon,"2,703"
Shelton,"41,097"
Sherman,"3,614"
Simsbury,"24,979"
Somers,"10,834"
Southbury,"19,656"
Southington,"43,807"
South Windsor,"26,054"
Sprague,"2,889"
Stafford,"11,884"
Stamford,"129,775"
Sterling,"3,780"
Stonington,"18,449"
Stratford,"51,967"
Suffield,"15,743"
Thomaston,"7,560"
Thompson,"9,395"
Tolland,"14,655"
Torrington,"34,228"
Trumbull,"35,802"
Union,840
Vernon,"29,303"
Voluntown,"2,535"
Wallingford,"44,535"
Warren,"1,399"
Washington,"3,434"
Waterbury,"108,093"
Waterford,"18,887"
Watertown,"21,641"
Westbrook,"6,914"
West Hartford,"62,939"
West Haven,"54,879"
Weston,"10,247"
Westport,"28,115"
Wethersfield,"26,082"
Willington,"5,887"
Wilton,"18,397"
Winchester,"10,655"
Windham,"24,706"
Windsor,"28,760"
Windsor Locks,"12,876"
Wolcott,"16,649"
Woodbridge,"8,805"
Woodbury,"9,537"
Woodstock,"7,862"
